Perfil,Vacantes_name,Vacantes_Empresa,Vacantes_Lugar,Vacantes_Fecha,Vacantes_Descripcion,Vacantes_Sueldo,Vacantes_Estrellas
Desarrollador Software,DESARROLLADOR DE SOFTWARE,AUTOCOM,Remoto,hace 30+ días,"Experiencia mínima de 3 años en desarrollo de proyectos Web, Cloud y/o Móviles, gestión de base de datos.
Experiencia en codificación y ejecución de pruebas…","$25,000 - $30,000 al mes",3.7
Desarrollador Software,DESARROLLADOR DE BOT´S,e-Bitware,Remoto,hace 30+ días,"Inteligencia artificial NLP/NLU (RASA - DESEABLE).
Frameworks: Flask y/o Django.
Base de Datos Mongo DB y MySQL.","$1,000 - $3,000 por semana",4
Desarrollador Software,Desarrollador(a) de software Microsoft Dynamics 365 - ERP MX...,Modern Talent Hub ES,"Querétaro, Qro.",hace 20 días,"Experiencia entre 1 y 3 años como desarrollador.
Un Desarrollador(a) de soluciones sobre la plataforma Microsoft Dynamics 365 (ERP) con experiencia de 1 a 3…","$10,000 - $20,000 al mes",3.9
Desarrollador Software,Desarrollador React JS,GTA Telecom de México,Remoto,hace 24 días,"Solucionar problemas y depurar código de software de interfaz.
Revisar los requerimientos de aplicación y diseños de interfaz.","$50,000 - $60,000 al mes",4.6
Desarrollador Software,DESARROLLADOR BACK END GOLANG,e-Bitware,Desde casa,hace 30+ días,"NodeJS, basado en el framework NEST.","$15,000 - $27,000 al mes",3.5
Desarrollador Software,Cientifico de Datos,Hatchers,Remoto,hace 30+ días,"El puesto involucra desarrollar y diseñar modelos matemáticos.
Estudios relacionados a matemáticas y/o física.
Vacaciones bajo demanda sin restricciones.","$30,000 - $35,000 al mes",5
Desarrollador Software,DESARROLLADOR .NET,´PITE,"Hermosillo, Son.•Remoto",hace 13 días,PITE somos una empresa de desarrollo de software con certificación de Microsoft en Application Development (Silver) con más de 10 años de experiencia en el…,"$20,000 - $25,000 al mes",3.8
Desarrollador Software,Arquitecto de Software / Líder Técnico,M22,Remoto,hace 20 días,"Brindar ayuda técnica continua y proactiva a los desarrolladores del equipo, con el fin de garantizar el éxito de cada uno en los proyectos.","$25,000 - $30,000 al mes",1.8
Desarrollador Software,Desarrollador de Software,AFIRMA,"Cuajimalpa, CDMX",hace 30+ días,"El puesto involucra desarrollar y diseñar modelos matemáticos.
Estudios relacionados a matemáticas y/o física.
Vacaciones bajo demanda sin restricciones.","$30,000 - $35,000 al mes",4
Desarrollador Software,Desarrollador de Software Junior Bilingüe,Manpower Mexico,"Mérida, Yuc.",hace 23 días,"Experiencia en servicio social o prácticas profesionales en desarrollo de software con tecnologías Microsoft.
Desarrollo, mantenimiento, diseño e implementación…","$22,000 - $25,000 al mes",4.6
Desarrollador Software,Analista de Negocios,Tekprovider,"Guadalajara, Jal.",hace 21 días,"Ser un puente entre la relación cliente - desarrolladores.
Experiencia de 1 a 2 años como Analista de Negocios, en empresas de software o similares …","$20,000 - $25,000 al mes",3.9
Desarrollador Software,Líder de Testing Senior,GTA Telecom de México,Remoto,hace 24 días,"Ser el punto de contacto entre los desarrolladores y los probadores.
Net y familiarizado con el framework de prueba Cypress.","$50,000 - $60,000 al mes",1.8
Desarrollador Software,Desarrollador PLSQL,Manpower Mexico,"Benito Juárez, CDMX•Remoto",hace 9 días,"CONOCIMIENTOS EN ADMINISTRACION DE BASE DATOS(INDICES, TABLE SPACES, FILE SYSTEMS.
STORE PROCEDURES, FUNCIONES, PAQUETES, TRIGGERS.","$45,000 - $50,000 al mes",3.8
Desarrollador Software,Desarrollador Fullstack + Node Js 100% Home Oficce,Estrategia Tecnologica,Remoto,hace 30+ días,"NODE JS DEVELOPER, 100% VIA REMOTA para GUADALAJARA, CDMX o MONTERREY.
2-3 años de experiencia con NodeJs + Typescript como Back End.","$50,000 - $80,000 al mes",4.2
Desarrollador Software,DESARROLLADOR DE SOFTWARE,AUTOCOM,Remoto,hace 30+ días,"Experiencia mínima de 3 años en desarrollo de proyectos Web, Cloud y/o Móviles, gestión de base de datos.
Experiencia en codificación y ejecución de pruebas…","$25,000 - $30,000 al mes",3.6
Desarrollador Software,DESARROLLADOR DE BOT´S,e-Bitware,Remoto,hace 30+ días,"Inteligencia artificial NLP/NLU (RASA - DESEABLE).
Frameworks: Flask y/o Django.
Base de Datos Mongo DB y MySQL.","$1,000 - $3,000 por semana",3.4
Desarrollador Software,Desarrollador(a) de software Microsoft Dynamics 365 - ERP MX...,Modern Talent Hub ES,"Querétaro, Qro.",hace 20 días,"Experiencia entre 1 y 3 años como desarrollador.
Un Desarrollador(a) de soluciones sobre la plataforma Microsoft Dynamics 365 (ERP) con experiencia de 1 a 3…","$10,000 - $20,000 al mes",4.2
Desarrollador Software,Desarrollador React JS,GTA Telecom de México,Remoto,hace 24 días,"Solucionar problemas y depurar código de software de interfaz.
Revisar los requerimientos de aplicación y diseños de interfaz.","$50,000 - $60,000 al mes",3.5
Desarrollador Software,DESARROLLADOR BACK END GOLANG,e-Bitware,Desde casa,hace 30+ días,"NodeJS, basado en el framework NEST.","$15,000 - $27,000 al mes",3.2
Desarrollador Software,100% Home Office,Cuvitek Software,Remoto,hace 30+ días,"Mínimo 3 años en el mismo puesto en proyectos basados en tecnología JAVA 8 (versión deseada pero inferiores son aceptables).
Control de versiones (SVN / GIT).","$20,000 - $25,000 al mes",4.3
Desarrollador Software,Desarrollador Genexus,Ulfix,"Miguel Hidalgo, CDMX",hace 30+ días,"Serás responsable de diseñar y construir estas aplicaciones, así como de coordinar con los equipos responsables de otras capas de la infraestructura del…","$40,000 - $45,000 al mes",4
